winner,winner,winner_number,overall_p1,overall_p2,tournament,surface,player2,player2_num,player1,player1_num,original_location,city,country,location,level,year,round,score,withdrawal,retirement,score,winner_set1,loser_set1,winner_set2,loser_set2,winner_set3,loser_set3,winner_set4,loser_set4,winner_set5,loser_set5,set1,set2,set3,set4,set5,winner_sets,loser_sets,winner_games,loser_games
"Murray,‘_Andy",Murray,5,6,8,Marseille,Hard,Murray,5,Wawrinka,3,France,Marseille,France,Europe,Other,2008,R16,"3-6, 7-6(5), 6-1‘_",0,0,"3-6, 7-6(5), 6-1",3,6,7,6,6,1,0,0,0,0,-3,1,5,0,0,2,1,16,13
"Wawrinka,‘_Stan",Wawrinka,3,6,8,ATP Masters Series Rome,Clay,Murray,5,Wawrinka,3,Italy,Rome,France,Europe,Masters 1000,2008,R32,"6-2, 7-6(5)‘_",0,0,"6-2, 7-6(5)",6,2,7,6,0,0,0,0,0,0,4,1,0,0,0,2,0,13,8
"Berdych,‘_Tomas",Berdych,6,9,5,ATP Masters Series Paris,Hard,Berdych,6,Wawrinka,3,France,Paris,France,Europe,Masters 1000,2008,R32,"6-3, 7-5‘_",0,0,"6-3, 7-5",6,3,7,5,0,0,0,0,0,0,3,2,0,0,0,2,0,13,8
"Wawrinka,‘_Stan",Wawrinka,3,9,5,ATP Masters Series Rome,Clay,Berdych,6,Wawrinka,3,Italy,Rome,France,Europe,Masters 1000,2005,R64,"6-1, 6-4‘_",0,0,"6-1, 6-4",6,1,6,4,0,0,0,0,0,0,5,2,0,0,0,2,0,12,5
"Wawrinka,‘_Stan",Wawrinka,3,7,2,Roland Garros,Clay,Cilic,8,Wawrinka,3,France,Paris,France,Europe,Grand Slam,2008,R64,"7-6(3), 7-6(4), 6-1‘_",0,0,"7-6(3), 7-6(4), 6-1",7,6,7,6,6,1,0,0,0,0,1,1,5,0,0,3,0,20,13
"Berdych,‘_Tomas",Berdych,6,4,6,ATP World Tour Masters 1000 Paris,Hard,Berdych,6,Murray,5,France,Paris,France,Europe,Masters 1000,2011,Q,"4-6, 7-6(5), 6-4‘_",0,0,"4-6, 7-6(5), 6-4",4,6,7,6,6,4,0,0,0,0,-2,1,2,0,0,2,1,17,16
"Berdych,‘_Tomas",Berdych,6,4,6,Roland Garros,Clay,Berdych,6,Murray,5,France,Paris,France,Europe,Grand Slam,2010,R16,"6-4, 7-5, 6-3‘_",0,0,"6-4, 7-5, 6-3",6,4,7,5,6,3,0,0,0,0,2,2,3,0,0,3,0,19,12
"Murray,‘_Andy",Murray,5,10,2,ATP World Tour Masters 1000 Paris,Hard,Cilic,8,Murray,5,France,Paris,France,Europe,Masters 1000,2010,R16,"7-6(6), 3-6, 6-3‘_",0,0,"7-6(6), 3-6, 6-3",7,6,3,6,6,3,0,0,0,0,1,-3,3,0,0,2,1,16,15
"Murray,‘_Andy",Murray,5,10,2,Roland Garros,Clay,Cilic,8,Murray,5,France,Paris,France,Europe,Grand Slam,2009,R16,"7-5, 7-6(4), 6-1‘_",0,0,"7-5, 7-6(4), 6-1",7,5,7,6,6,1,0,0,0,0,2,1,5,0,0,3,0,20,12
"Berdych,‘_Tomas",Berdych,6,1,3,ATP World Tour Masters 1000 Paris,Hard,Raonic,7,Berdych,6,France,Paris,France,Europe,Masters 1000,2013,R16,"7-6(13), 6-4‘_",0,0,"7-6(13), 6-4",7,6,6,4,0,0,0,0,0,0,1,2,0,0,0,2,0,13,10
"Raonic,‘_Milos",Raonic,7,1,3,ATP World Tour Masters 1000 Paris,Hard,Raonic,7,Berdych,6,France,Paris,France,Europe,Masters 1000,2014,S,"6-3, 3-6, 7-5‘_",0,0,"6-3, 3-6, 7-5",6,3,3,6,7,5,0,0,0,0,3,-3,2,0,0,2,1,16,14
"Cilic,‘_Marin",Cilic,8,5,4,Marseille,Hard,Cilic,8,Berdych,6,France,Marseille,France,Europe,Other,2011,Q,"6-3, 6-4‘_",0,0,"6-3, 6-4",6,3,6,4,0,0,0,0,0,0,3,2,0,0,0,2,0,12,7
"Federer,‘_Roger",Federer,2,2,2,Halle,Grass,Nishikori,4,Federer,2,Germany,Halle,Germany,Europe,Other,2014,S,"6-3, 7-6(4)‘_",0,0,"6-3, 7-6(4)",6,3,7,6,0,0,0,0,0,0,3,1,0,0,0,2,0,13,9
"Federer,‘_Roger",Federer,2,12,6,ATP Masters Series Hamburg,Clay,Berdych,6,Federer,2,Germany,Hamburg,Germany,Europe,Masters 1000,2005,R32,"6-2, 6-1‘_",0,0,"6-2, 6-1",6,2,6,1,0,0,0,0,0,0,4,5,0,0,0,2,0,12,3
"Federer,‘_Roger",Federer,2,12,6,Halle,Grass,Berdych,6,Federer,2,Germany,Halle,Germany,Europe,Other,2006,F,"6-0, 6-7(4), 6-2‘_",0,0,"6-0, 6-7(4), 6-2",6,0,6,7,6,2,0,0,0,0,6,-1,4,0,0,2,1,18,9
"Federer,‘_Roger",Federer,2,6,1,Halle,Grass,Raonic,7,Federer,2,Germany,Halle,Germany,Europe,Other,2012,Q,"6-7(4), 6-4, 7-6(3)‘_",0,0,"6-7(4), 6-4, 7-6(3)",6,7,6,4,7,6,0,0,0,0,-1,2,1,0,0,2,1,19,17
"Wawrinka,‘_Stan",Wawrinka,3,7,2,Stuttgart,Clay,Cilic,8,Wawrinka,3,Germany,Stuttgart,Germany,Europe,Other,2007,R16,"6-4, 6-1‘_",0,0,"6-4, 6-1",6,4,6,1,0,0,0,0,0,0,2,5,0,0,0,2,0,12,5
"Djokovic,‘_Novak",Djokovic,1,17,19,Barclays ATP World Tour Finals,Hard,Federer,2,Djokovic,1,Great Britain,London,Great Britain,Europe,World Tour Finals,2013,RR,"6-4, 6-7(2), 6-2‘_",0,0,"6-4, 6-7(2), 6-2",6,4,6,7,6,2,0,0,0,0,2,-1,4,0,0,2,1,18,13
"Djokovic,‘_Novak",Djokovic,1,17,19,Barclays ATP World Tour Finals,Hard,Federer,2,Djokovic,1,Great Britain,London,Great Britain,Europe,World Tour Finals,2012,F,"7-6(6), 7-5‘_",0,0,"7-6(6), 7-5",7,6,7,5,0,0,0,0,0,0,1,2,0,0,0,2,0,14,11
"Djokovic,‘_Novak",Djokovic,1,17,19,Wimbledon,Grass,Federer,2,Djokovic,1,Great Britain,London,Great Britain,Europe,Grand Slam,2014,F,"6-7(7), 6-4, 7-6(4), 5-7, 6-4‘_",0,0,"6-7(7), 6-4, 7-6(4), 5-7, 6-4",6,7,6,4,7,6,5,7,6,4,-1,2,1,-2,2,3,2,30,28
"Federer,‘_Roger",Federer,2,17,19,Barclays ATP World Tour Finals,Hard,Federer,2,Djokovic,1,"London, England",London,Great Britain,Europe,World Tour Finals,2010,S,"6-1, 6-4‘_",0,0,"6-1, 6-4",6,1,6,4,0,0,0,0,0,0,5,2,0,0,0,2,0,12,5
"Federer,‘_Roger",Federer,2,17,19,Wimbledon,Grass,Federer,2,Djokovic,1,Great Britain,London,Great Britain,Europe,Grand Slam,2012,S,"6-3, 3-6, 6-4, 6-3‘_",0,0,"6-3, 3-6, 6-4, 6-3",6,3,3,6,6,4,6,3,0,0,3,-3,2,3,0,3,1,21,16
"Djokovic,‘_Novak",Djokovic,1,15,3,Barclays ATP World Tour Finals,Hard,Wawrinka,3,Djokovic,1,Great Britain,London,Great Britain,Europe,World Tour Finals,2013,S,"6-3, 6-3‘_",0,0,"6-3, 6-3",6,3,6,3,0,0,0,0,0,0,3,3,0,0,0,2,0,12,6
"Djokovic,‘_Novak",Djokovic,1,15,8,Barclays ATP World Tour Finals,Hard,Murray,5,Djokovic,1,Great Britain,London,Great Britain,Europe,World Tour Finals,2012,RR,"4-6, 6-3, 7-5‘_",0,0,"4-6, 6-3, 7-5",4,6,6,3,7,5,0,0,0,0,-2,3,2,0,0,2,1,17,14
"Murray,‘_Andy",Murray,5,15,8,London Olympics,Grass,Murray,5,Djokovic,1,Great Britain,London,Great Britain,Europe,Olympics/DC,2012,S,"7-5, 7-5‘_",0,0,"7-5, 7-5",7,5,7,5,0,0,0,0,0,0,2,2,0,0,0,2,0,14,10
"Murray,‘_Andy",Murray,5,15,8,Wimbledon,Grass,Murray,5,Djokovic,1,Great Britain,London,Great Britain,Europe,Grand Slam,2013,F,"6-4, 7-5, 6-4‘_",0,0,"6-4, 7-5, 6-4",6,4,7,5,6,4,0,0,0,0,2,2,2,0,0,3,0,19,13
"Berdych,‘_Tomas",Berdych,6,16,2,Wimbledon,Grass,Berdych,6,Djokovic,1,Great Britain,London,Great Britain,Europe,Grand Slam,2010,S,"6-3, 7-6(9), 6-3‘_",0,0,"6-3, 7-6(9), 6-3",6,3,7,6,6,3,0,0,0,0,3,1,3,0,0,3,0,19,12
"Djokovic,‘_Novak",Djokovic,1,16,2,Barclays ATP World Tour Finals,Hard,Berdych,6,Djokovic,1,Great Britain,London,Great Britain,Europe,World Tour Finals,2012,RR,"6-2, 7-6(6)‘_",0,0,"6-2, 7-6(6)",6,2,7,6,0,0,0,0,0,0,4,1,0,0,0,2,0,13,8
"Djokovic,‘_Novak",Djokovic,1,16,2,Barclays ATP World Tour Finals,Hard,Berdych,6,Djokovic,1,Great Britain,London,Great Britain,Europe,World Tour Finals,2011,RR,"3-6, 6-3, 7-6(3)‘_",0,0,"3-6, 6-3, 7-6(3)",3,6,6,3,7,6,0,0,0,0,-3,3,1,0,0,2,1,16,15
"Djokovic,‘_Novak",Djokovic,1,16,2,Barclays ATP World Tour Finals,Hard,Berdych,6,Djokovic,1,"London, England",London,Great Britain,Europe,World Tour Finals,2010,RR,"6-3, 6-3‘_",0,0,"6-3, 6-3",6,3,6,3,0,0,0,0,0,0,3,3,0,0,0,2,0,12,6
"Djokovic,‘_Novak",Djokovic,1,16,2,Wimbledon,Grass,Berdych,6,Djokovic,1,Great Britain,London,Great Britain,Europe,Grand Slam,2013,Q,"7-6(5), 6-4, 6-3‘_",0,0,"7-6(5), 6-4, 6-3",7,6,6,4,6,3,0,0,0,0,1,2,3,0,0,3,0,19,13
"Djokovic,‘_Novak",Djokovic,1,10,0,Wimbledon,Grass,Cilic,8,Djokovic,1,Great Britain,London,Great Britain,Europe,Grand Slam,2014,Q,"6-1, 3-6, 6-7(4), 6-2, 6-2‘_",0,0,"6-1, 3-6, 6-7(4), 6-2, 6-2",6,1,3,6,6,7,6,2,6,2,5,-3,-1,4,4,3,2,27,18
"Federer,‘_Roger",Federer,2,14,2,Wimbledon,Grass,Wawrinka,3,Federer,2,Great Britain,London,Great Britain,Europe,Grand Slam,2014,Q,"3-6, 7-6(5), 6-4, 6-4‘_",0,0,"3-6, 7-6(5), 6-4, 6-4",3,6,7,6,6,4,6,4,0,0,-3,1,2,2,0,3,1,22,20
"Federer,‘_Roger",Federer,2,11,11,Barclays ATP World Tour Finals,Hard,Murray,5,Federer,2,Great Britain,London,Great Britain,Europe,World Tour Finals,2012,S,"7-6(5), 6-2‘_",0,0,"7-6(5), 6-2",7,6,6,2,0,0,0,0,0,0,1,4,0,0,0,2,0,13,8
"Federer,‘_Roger",Federer,2,11,11,Barclays ATP World Tour Finals,Hard,Murray,5,Federer,2,"London, England",London,Great Britain,Europe,World Tour Finals,2010,RR,"6-4, 6-2‘_",0,0,"6-4, 6-2",6,4,6,2,0,0,0,0,0,0,2,4,0,0,0,2,0,12,6
"Federer,‘_Roger",Federer,2,11,11,Barclays ATP World Tour Finals,Hard,Murray,5,Federer,2,"London, England",London,Great Britain,Europe,World Tour Finals,2009,RR,"3-6, 6-3, 6-1‘_",0,0,"3-6, 6-3, 6-1",3,6,6,3,6,1,0,0,0,0,-3,3,5,0,0,2,1,15,10
"Federer,‘_Roger",Federer,2,11,11,Wimbledon,Grass,Murray,5,Federer,2,Great Britain,London,Great Britain,Europe,Grand Slam,2012,F,"4-6, 7-5, 6-3, 6-4‘_",0,0,"4-6, 7-5, 6-3, 6-4",4,6,7,5,6,3,6,4,0,0,-2,2,3,2,0,3,1,23,18
"Murray,‘_Andy",Murray,5,11,11,London Olympics,Grass,Murray,5,Federer,2,Great Britain,London,Great Britain,Europe,Olympics/DC,2012,F,"6-2, 6-1, 6-4‘_",0,0,"6-2, 6-1, 6-4",6,2,6,1,6,4,0,0,0,0,4,5,2,0,0,3,0,18,7
"Berdych,‘_Tomas",Berdych,6,12,6,Wimbledon,Grass,Berdych,6,Federer,2,Great Britain,London,Great Britain,Europe,Grand Slam,2010,Q,"6-4, 3-6, 6-1, 6-4‘_",0,0,"6-4, 3-6, 6-1, 6-4",6,4,3,6,6,1,6,4,0,0,2,-3,5,2,0,3,1,21,15
"Federer,‘_Roger",Federer,2,12,6,Wimbledon,Grass,Berdych,6,Federer,2,England,London,Great Britain,Europe,Grand Slam,2006,R16,"6-3, 6-3, 6-4‘_",0,0,"6-3, 6-3, 6-4",6,3,6,3,6,4,0,0,0,0,3,3,2,0,0,3,0,18,10
"Federer,‘_Roger",Federer,2,6,1,Wimbledon,Grass,Raonic,7,Federer,2,Great Britain,London,Great Britain,Europe,Grand Slam,2014,S,"6-4, 6-4, 6-4‘_",0,0,"6-4, 6-4, 6-4",6,4,6,4,6,4,0,0,0,0,2,2,2,0,0,3,0,18,12
"Murray,‘_Andy",Murray,5,6,8,London Olympics,Grass,Murray,5,Wawrinka,3,Great Britain,London,Great Britain,Europe,Olympics/DC,2012,R64,"6-3, 6-3‘_",0,0,"6-3, 6-3",6,3,6,3,0,0,0,0,0,0,3,3,0,0,0,2,0,12,6
"Murray,‘_Andy",Murray,5,6,8,Wimbledon,Grass,Murray,5,Wawrinka,3,Great Britain,London,Great Britain,Europe,Grand Slam,2009,R16,"2-6, 6-3, 6-3, 5-7, 6-3‘_",0,0,"2-6, 6-3, 6-3, 5-7, 6-3",2,6,6,3,6,3,5,7,6,3,-4,3,3,-2,3,3,2,25,22
"Wawrinka,‘_Stan",Wawrinka,3,9,5,Barclays ATP World Tour Finals,Hard,Berdych,6,Wawrinka,3,Great Britain,London,Great Britain,Europe,World Tour Finals,2013,RR,"6-3, 6-7(0), 6-3‘_",0,0,"6-3, 6-7(0), 6-3",6,3,6,7,6,3,0,0,0,0,3,-1,3,0,0,2,1,18,13
"Raonic,‘_Milos",Raonic,7,4,1,Wimbledon,Grass,Raonic,7,Nishikori,4,Great Britain,London,Great Britain,Europe,Grand Slam,2014,R16,"4-6, 6-1, 7-6(4), 6-3‘_",0,0,"4-6, 6-1, 7-6(4), 6-3",4,6,6,1,7,6,6,3,0,0,-2,5,1,3,0,3,1,23,16
"Murray,‘_Andy",Murray,5,4,6,Barclays ATP World Tour Finals,Hard,Berdych,6,Murray,5,Great Britain,London,Great Britain,Europe,World Tour Finals,2012,RR,"3-6, 6-3, 6-4‘_",0,0,"3-6, 6-3, 6-4",3,6,6,3,6,4,0,0,0,0,-3,3,2,0,0,2,1,15,13
"Murray,‘_Andy",Murray,5,10,2,GBR v. CRO WG PO,Grass,Cilic,8,Murray,5,Great Britain,London,Great Britain,Europe,Olympics/DC,2007,RR,"3-6, 6-4, 6-2, 4-6, 6-3‘_",0,0,"3-6, 6-4, 6-2, 4-6, 6-3",3,6,6,4,6,2,4,6,6,3,-3,2,4,-2,3,3,2,25,21
"Murray,‘_Andy",Murray,5,10,2,London / Queen's Club,Grass,Cilic,8,Murray,5,Great Britain,London,Great Britain,Europe,Other,2013,F,"5-7, 7-5, 6-3‘_",0,0,"5-7, 7-5, 6-3",5,7,7,5,6,3,0,0,0,0,-2,2,3,0,0,2,1,18,15
"Murray,‘_Andy",Murray,5,10,2,London / Queen's Club,Grass,Cilic,8,Murray,5,Great Britain,London,Great Britain,Europe,Other,2011,Q, W/O‘_,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Murray,‘_Andy",Murray,5,10,2,Wimbledon,Grass,Cilic,8,Murray,5,Great Britain,London,Great Britain,Europe,Grand Slam,2012,R16,"7-5, 6-2, 6-3‘_",0,0,"7-5, 6-2, 6-3",7,5,6,2,6,3,0,0,0,0,2,4,3,0,0,3,0,19,10
"Cilic,‘_Marin",Cilic,8,5,4,London / Queen's Club,Grass,Cilic,8,Berdych,6,Great Britain,London,Great Britain,Europe,Other,2013,Q,"7-5, 7-6(4)‘_",0,0,"7-5, 7-6(4)",7,5,7,6,0,0,0,0,0,0,2,1,0,0,0,2,0,14,11
"Cilic,‘_Marin",Cilic,8,5,4,Wimbledon,Grass,Cilic,8,Berdych,6,Great Britain,London,Great Britain,Europe,Grand Slam,2014,R32,"7-6(5), 6-4, 7-6(6)‘_",0,0,"7-6(5), 6-4, 7-6(6)",7,6,6,4,7,6,0,0,0,0,1,2,1,0,0,3,0,20,16
"Berdych,‘_Tomas",Berdych,6,12,6,Athens Olympics,Hard,Berdych,6,Federer,2,Greece,Athens,Greece,Europe,Olympics/DC,2004,R32,"4-6, 7-5, 7-5‘_",0,0,"4-6, 7-5, 7-5",4,6,7,5,7,5,0,0,0,0,-2,2,2,0,0,2,1,18,16
"Wawrinka,‘_Stan",Wawrinka,3,9,5,Chennai,Hard,Berdych,6,Wawrinka,3,India,Chennai,India,Asia,Other,2011,S,"6-4, 6-1‘_",0,0,"6-4, 6-1",6,4,6,1,0,0,0,0,0,0,2,5,0,0,0,2,0,12,5
"Cilic,‘_Marin",Cilic,8,7,2,Chennai,Hard,Cilic,8,Wawrinka,3,India,Chennai,India,Asia,Other,2010,F,"7-6(2), 7-6(3)‘_",0,0,"7-6(2), 7-6(3)",7,6,7,6,0,0,0,0,0,0,1,1,0,0,0,2,0,14,12
"Nishikori,‘_Kei",Nishikori,4,5,3,Chennai,Hard,Cilic,8,Nishikori,4,India,Chennai,India,Asia,Other,2011,R32,"4-6, 7-6(0), 6-2‘_",0,0,"4-6, 7-6(0), 6-2",4,6,7,6,6,2,0,0,0,0,-2,1,4,0,0,2,1,17,14
"Djokovic,‘_Novak",Djokovic,1,17,19,ATP World Tour Masters 1000 Rome,Clay,Federer,2,Djokovic,1,Italy,Rome,Italy,Europe,Masters 1000,2012,S,"6-2, 7-6(4)‘_",0,0,"6-2, 7-6(4)",6,2,7,6,0,0,0,0,0,0,4,1,0,0,0,2,0,13,8
"Djokovic,‘_Novak",Djokovic,1,17,19,ATP World Tour Masters 1000 Rome,Clay,Federer,2,Djokovic,1,Italy,Rome,Italy,Europe,Masters 1000,2009,S,"4-6, 6-3, 6-3‘_",0,0,"4-6, 6-3, 6-3",4,6,6,3,6,3,0,0,0,0,-2,3,3,0,0,2,1,16,12
"Djokovic,‘_Novak",Djokovic,1,15,3,ATP World Tour Masters 1000 Rome,Clay,Wawrinka,3,Djokovic,1,Italy,Rome,Italy,Europe,Masters 1000,2011,R16,"6-4, 6-1‘_",0,0,"6-4, 6-1",6,4,6,1,0,0,0,0,0,0,2,5,0,0,0,2,0,12,5
"Djokovic,‘_Novak",Djokovic,1,15,8,ATP World Tour Masters 1000 Rome,Clay,Murray,5,Djokovic,1,Italy,Rome,Italy,Europe,Masters 1000,2011,S,"6-1, 3-6, 7-6(2)‘_",0,0,"6-1, 3-6, 7-6(2)",6,1,3,6,7,6,0,0,0,0,5,-3,1,0,0,2,1,16,13
"Berdych,‘_Tomas",Berdych,6,16,2,ATP World Tour Masters 1000 Rome,Clay,Berdych,6,Djokovic,1,Italy,Rome,Italy,Europe,Masters 1000,2013,Q,"2-6, 7-5, 6-4‘_",0,0,"2-6, 7-5, 6-4",2,6,7,5,6,4,0,0,0,0,-4,2,2,0,0,2,1,15,15
"Djokovic,‘_Novak",Djokovic,1,4,0,ATP World Tour Masters 1000 Rome,Clay,Raonic,7,Djokovic,1,Italy,Rome,Italy,Europe,Masters 1000,2014,S,"6-7(5), 7-6(4), 6-3‘_",0,0,"6-7(5), 7-6(4), 6-3",6,7,7,6,6,3,0,0,0,0,-1,1,3,0,0,2,1,19,16
"Wawrinka,‘_Stan",Wawrinka,3,9,5,ATP World Tour Masters 1000 Rome,Clay,Berdych,6,Wawrinka,3,Italy,Rome,Italy,Europe,Masters 1000,2010,R32,"2-6, 6-3, 7-6(6)‘_",0,0,"2-6, 6-3, 7-6(6)",2,6,6,3,7,6,0,0,0,0,-4,3,1,0,0,2,1,15,15
"Murray,‘_Andy",Murray,5,6,8,Tokyo,Hard,Murray,5,Wawrinka,3,Japan,Tokyo,Japan,Asia,Other,2012,Q,"6-2, 3-6, 6-2‘_",0,0,"6-2, 3-6, 6-2",6,2,3,6,6,2,0,0,0,0,4,-3,4,0,0,2,1,15,10
"Nishikori,‘_Kei",Nishikori,4,3,1,Tokyo,Hard,Berdych,6,Nishikori,4,Japan,Tokyo,Japan,Asia,Other,2012,Q,"7-5, 6-4‘_",0,0,"7-5, 6-4",7,5,6,4,0,0,0,0,0,0,2,2,0,0,0,2,0,13,9
"Nishikori,‘_Kei",Nishikori,4,4,1,Tokyo,Hard,Raonic,7,Nishikori,4,Japan,Tokyo,Japan,Asia,Other,2014,F,"7-6(5), 4-6, 6-4‘_",0,0,"7-6(5), 4-6, 6-4",7,6,4,6,6,4,0,0,0,0,1,-2,2,0,0,2,1,17,16
"Nishikori,‘_Kei",Nishikori,4,4,1,Tokyo,Hard,Raonic,7,Nishikori,4,Japan,Tokyo,Japan,Asia,Other,2012,F,"7-6(5), 3-6, 6-0‘_",0,0,"7-6(5), 3-6, 6-0",7,6,3,6,6,0,0,0,0,0,1,-3,6,0,0,2,1,16,12
"Raonic,‘_Milos",Raonic,7,1,3,Tokyo,Hard,Raonic,7,Murray,5,Japan,Tokyo,Japan,Asia,Other,2012,S,"6-3, 6-7(5), 7-6(4)‘_",0,0,"6-3, 6-7(5), 7-6(4)",6,3,6,7,7,6,0,0,0,0,3,-1,1,0,0,2,1,19,16
"Federer,‘_Roger",Federer,2,17,19,ATP Masters Series Monte Carlo,Clay,Federer,2,Djokovic,1,Monaco,Monte Carlo,Monaco,Europe,Masters 1000,2008,S,"6-3, 3-2 RET‘_",0,1,"6-3, 3-2",6,3,3,2,0,0,0,0,0,0,3,1,0,0,0,2,0,9,5
"Federer,‘_Roger",Federer,2,17,19,ATP Masters Series Monte Carlo,Clay,Federer,2,Djokovic,1,Monaco,Monte Carlo,Monaco,Europe,Masters 1000,2006,R64,"6-3, 2-6, 6-3‘_",0,0,"6-3, 2-6, 6-3",6,3,2,6,6,3,0,0,0,0,3,-4,3,0,0,2,1,14,12
"Federer,‘_Roger",Federer,2,17,19,ATP World Tour Masters 1000 Monte Carlo,Clay,Federer,2,Djokovic,1,Monaco,Monte Carlo,Monaco,Europe,Masters 1000,2014,S,"7-5, 6-2‘_",0,0,"7-5, 6-2",7,5,6,2,0,0,0,0,0,0,2,4,0,0,0,2,0,13,7
"Djokovic,‘_Novak",Djokovic,1,15,3,ATP World Tour Masters 1000 Monte Carlo,Clay,Wawrinka,3,Djokovic,1,Monaco,Monte Carlo,Monaco,Europe,Masters 1000,2010,R16,"6-4, 6-4‘_",0,0,"6-4, 6-4",6,4,6,4,0,0,0,0,0,0,2,2,0,0,0,2,0,12,8
"Djokovic,‘_Novak",Djokovic,1,15,3,ATP World Tour Masters 1000 Monte Carlo,Clay,Wawrinka,3,Djokovic,1,Monaco,Monte Carlo,Monaco,Europe,Masters 1000,2009,S,"4-6, 6-1, 6-3‘_",0,0,"4-6, 6-1, 6-3",4,6,6,1,6,3,0,0,0,0,-2,5,3,0,0,2,1,16,10
"Djokovic,‘_Novak",Djokovic,1,15,8,ATP Masters Series Monte Carlo,Clay,Murray,5,Djokovic,1,Monaco,Monte Carlo,Monaco,Europe,Masters 1000,2008,R16,"6-0, 6-4‘_",0,0,"6-0, 6-4",6,0,6,4,0,0,0,0,0,0,6,2,0,0,0,2,0,12,4
"Djokovic,‘_Novak",Djokovic,1,16,2,ATP World Tour Masters 1000 Monte Carlo,Clay,Berdych,6,Djokovic,1,Monaco,Monte Carlo,Monaco,Europe,Masters 1000,2012,S,"4-6, 6-3, 6-2‘_",0,0,"4-6, 6-3, 6-2",4,6,6,3,6,2,0,0,0,0,-2,3,4,0,0,2,1,16,11
"Wawrinka,‘_Stan",Wawrinka,3,14,2,ATP World Tour Masters 1000 Monte Carlo,Clay,Wawrinka,3,Federer,2,Monaco,Monte Carlo,Monaco,Europe,Masters 1000,2014,F,"4-6, 7-6(5), 6-2‘_",0,0,"4-6, 7-6(5), 6-2",4,6,7,6,6,2,0,0,0,0,-2,1,4,0,0,2,1,17,14
"Wawrinka,‘_Stan",Wawrinka,3,14,2,ATP World Tour Masters 1000 Monte Carlo,Clay,Wawrinka,3,Federer,2,Monaco,Monte Carlo,Monaco,Europe,Masters 1000,2009,R16,"6-4, 7-5‘_",0,0,"6-4, 7-5",6,4,7,5,0,0,0,0,0,0,2,2,0,0,0,2,0,13,9
"Federer,‘_Roger",Federer,2,5,1,ATP World Tour Masters 1000 Monte Carlo,Clay,Cilic,8,Federer,2,Monaco,Monte Carlo,Monaco,Europe,Masters 1000,2011,R16,"6-4, 6-3‘_",0,0,"6-4, 6-3",6,4,6,3,0,0,0,0,0,0,2,3,0,0,0,2,0,12,7
"Wawrinka,‘_Stan",Wawrinka,3,6,8,ATP World Tour Masters 1000 Monte Carlo,Clay,Murray,5,Wawrinka,3,Monaco,Monte Carlo,Monaco,Europe,Masters 1000,2013,R16,"6-1, 6-2‘_",0,0,"6-1, 6-2",6,1,6,2,0,0,0,0,0,0,5,4,0,0,0,2,0,12,3
"Wawrinka,‘_Stan",Wawrinka,3,3,0,ATP World Tour Masters 1000 Monte Carlo,Clay,Raonic,7,Wawrinka,3,Monaco,Monte Carlo,Monaco,Europe,Masters 1000,2014,Q,"7-6(5), 6-2‘_",0,0,"7-6(5), 6-2",7,6,6,2,0,0,0,0,0,0,1,4,0,0,0,2,0,13,8
"Wawrinka,‘_Stan",Wawrinka,3,7,2,ATP World Tour Masters 1000 Monte Carlo,Clay,Cilic,8,Wawrinka,3,Monaco,Monte Carlo,Monaco,Europe,Masters 1000,2014,R32,"6-0, 6-2‘_",0,0,"6-0, 6-2",6,0,6,2,0,0,0,0,0,0,6,4,0,0,0,2,0,12,2
"Berdych,‘_Tomas",Berdych,6,3,1,ATP World Tour Masters 1000 Monte Carlo,Clay,Berdych,6,Nishikori,4,Monaco,Monte Carlo,Monaco,Europe,Masters 1000,2012,R16,"2-6, 6-2, 6-4‘_",0,0,"2-6, 6-2, 6-4",2,6,6,2,6,4,0,0,0,0,-4,4,2,0,0,2,1,14,12
"Berdych,‘_Tomas",Berdych,6,4,6,ATP World Tour Masters 1000 Monte Carlo,Clay,Berdych,6,Murray,5,Monaco,Monte Carlo,Monaco,Europe,Masters 1000,2012,Q,"6-7(4), 6-2, 6-3‘_",0,0,"6-7(4), 6-2, 6-3",6,7,6,2,6,3,0,0,0,0,-1,4,3,0,0,2,1,18,12
"Berdych,‘_Tomas",Berdych,6,5,4,ATP World Tour Masters 1000 Monte Carlo,Clay,Cilic,8,Berdych,6,Monaco,Monte Carlo,Monaco,Europe,Masters 1000,2012,R32,"7-6(3), 6-1‘_",0,0,"7-6(3), 6-1",7,6,6,1,0,0,0,0,0,0,1,5,0,0,0,2,0,13,7
"Murray,‘_Andy",Murray,5,11,11,Doha,Hard,Murray,5,Federer,2,Qatar,Doha,Qatar,Middle East,Other,2009,S,"6-7(6), 6-2, 6-2‘_",0,0,"6-7(6), 6-2, 6-2",6,7,6,2,6,2,0,0,0,0,-1,4,4,0,0,2,1,18,11
"Murray,‘_Andy",Murray,5,6,8,Doha,Hard,Murray,5,Wawrinka,3,Qatar,Doha,Qatar,Middle East,Other,2008,F,"6-4, 4-6, 6-2‘_",0,0,"6-4, 4-6, 6-2",6,4,4,6,6,2,0,0,0,0,2,-2,4,0,0,2,1,16,12
