winner,winner,winner_number,overall_p1,overall_p2,tournament,surface,player2,player2_num,player1,player1_num,original_location,city,country,location,level,year,round,score,withdrawal,retirement,score,winner_set1,loser_set1,winner_set2,loser_set2,winner_set3,loser_set3,winner_set4,loser_set4,winner_set5,loser_set5,set1,set2,set3,set4,set5,winner_sets,loser_sets,winner_games,loser_games
"Berdych,‘_Tomas",Berdych,6,9,5,Australian Open,Hard,Berdych,6,Wawrinka,3,Australia,Melbourne,Australia,Asia,Grand Slam,2009,R32,"4-6, 6-1, 6-3, 6-4‘_",0,0,"4-6, 6-1, 6-3, 6-4",4,6,6,1,6,3,6,4,0,0,-2,5,3,2,0,3,1,22,14
"Wawrinka,‘_Stan",Wawrinka,3,9,5,Australian Open,Hard,Berdych,6,Wawrinka,3,Australia,Melbourne,Australia,Asia,Grand Slam,2014,S,"6-3, 6-7(1), 7-6(3), 7-6(4)‘_",0,0,"6-3, 6-7(1), 7-6(3), 7-6(4)",6,3,6,7,7,6,7,6,0,0,3,-1,1,1,0,3,1,26,22
"Cilic,‘_Marin",Cilic,8,7,2,Australian Open,Hard,Cilic,8,Wawrinka,3,Australia,Melbourne,Australia,Asia,Grand Slam,2010,R32,"4-6, 6-4, 6-3, 6-3‘_",0,0,"4-6, 6-4, 6-3, 6-3",4,6,6,4,6,3,6,3,0,0,-2,2,3,3,0,3,1,22,16
"Murray,‘_Andy",Murray,5,0,3,Australian Open,Hard,Murray,5,Nishikori,4,Australia,Melbourne,Australia,Asia,Grand Slam,2012,Q,"6-3, 6-3, 6-1‘_",0,0,"6-3, 6-3, 6-1",6,3,6,3,6,1,0,0,0,0,3,3,5,0,0,3,0,18,7
"Murray,‘_Andy",Murray,5,0,3,Brisbane,Hard,Murray,5,Nishikori,4,Australia,Brisbane,Australia,Asia,Other,2013,S,"6-4, 2-0 RET‘_",0,1,"6-4, 2-0",6,4,2,0,0,0,0,0,0,0,2,2,0,0,0,2,0,8,4
"Nishikori,‘_Kei",Nishikori,4,3,1,Brisbane,Hard,Berdych,6,Nishikori,4,Australia,Brisbane,Australia,Asia,Other,2009,R16,"7-6(7), 6-3‘_",0,0,"7-6(7), 6-3",7,6,6,3,0,0,0,0,0,0,1,3,0,0,0,2,0,13,9
"Nishikori,‘_Kei",Nishikori,4,5,3,Brisbane,Hard,Cilic,8,Nishikori,4,Australia,Brisbane,Australia,Asia,Other,2014,Q,"6-4, 5-7, 6-2‘_",0,0,"6-4, 5-7, 6-2",6,4,5,7,6,2,0,0,0,0,2,-2,4,0,0,2,1,17,13
"Berdych,‘_Tomas",Berdych,6,4,6,Adelaide,Hard,Berdych,6,Murray,5,Australia,Adelaide,Australia,Asia,Other,2006,R16,"7-6(2), 4-6, 6-1‘_",0,0,"7-6(2), 4-6, 6-1",7,6,4,6,6,1,0,0,0,0,1,-2,5,0,0,2,1,17,13
"Murray,‘_Andy",Murray,5,10,2,Australian Open,Hard,Cilic,8,Murray,5,Australia,Melbourne,Australia,Asia,Grand Slam,2010,S,"3-6, 6-4, 6-4, 6-2‘_",0,0,"3-6, 6-4, 6-4, 6-2",3,6,6,4,6,4,6,2,0,0,-3,2,2,4,0,3,1,21,16
"Djokovic,‘_Novak",Djokovic,1,15,3,Vienna,Hard,Wawrinka,3,Djokovic,1,Austria,Vienna,Austria,Europe,Other,2007,F,"6-4, 6-0‘_",0,0,"6-4, 6-0",6,4,6,0,0,0,0,0,0,0,2,6,0,0,0,2,0,12,4
"Wawrinka,‘_Stan",Wawrinka,3,15,3,Vienna,Hard,Wawrinka,3,Djokovic,1,Austria,Vienna,Austria,Europe,Other,2006,R16,"6-3, 6-3‘_",0,0,"6-3, 6-3",6,3,6,3,0,0,0,0,0,0,3,3,0,0,0,2,0,12,6
"Wawrinka,‘_Stan",Wawrinka,3,7,2,Vienna,Hard,Cilic,8,Wawrinka,3,Austria,Vienna,Austria,Europe,Other,2006,R32,"6-4, 6-1‘_",0,0,"6-4, 6-1",6,4,6,1,0,0,0,0,0,0,2,5,0,0,0,2,0,12,5
"Djokovic,‘_Novak",Djokovic,1,17,19,ATP Masters Series Canada,Hard,Federer,2,Djokovic,1,"Montreal, Canada",Montreal,Canada,Americas,Masters 1000,2007,F,"7-6(2), 2-6, 7-6(2)‘_",0,0,"7-6(2), 2-6, 7-6(2)",7,6,2,6,7,6,0,0,0,0,1,-4,1,0,0,2,1,16,18
"Federer,‘_Roger",Federer,2,17,19,ATP World Tour Masters 1000 Canada,Hard,Federer,2,Djokovic,1,"Toronto, Canada",Toronto,Canada,Americas,Masters 1000,2010,S,"6-1, 3-6, 7-5‘_",0,0,"6-1, 3-6, 7-5",6,1,3,6,7,5,0,0,0,0,5,-3,2,0,0,2,1,16,12
"Murray,‘_Andy",Murray,5,15,8,ATP Masters Series Canada,Hard,Murray,5,Djokovic,1,"Toronto, Canada",Toronto,Canada,Americas,Masters 1000,2008,Q,"6-3, 7-6(3)‘_",0,0,"6-3, 7-6(3)",6,3,7,6,0,0,0,0,0,0,3,1,0,0,0,2,0,13,9
"Djokovic,‘_Novak",Djokovic,1,10,0,ATP World Tour Masters 1000 Canada,Hard,Cilic,8,Djokovic,1,"Montreal, Canada",Montreal,Canada,Americas,Masters 1000,2011,R16,"7-5, 6-2‘_",0,0,"7-5, 6-2",7,5,6,2,0,0,0,0,0,0,2,4,0,0,0,2,0,13,7
"Federer,‘_Roger",Federer,2,14,2,ATP World Tour Masters 1000 Canada,Hard,Wawrinka,3,Federer,2,"MontrTal, Canada",Montreal,Canada,Americas,Masters 1000,2009,R16,"6-3, 7-6(5)‘_",0,0,"6-3, 7-6(5)",6,3,7,6,0,0,0,0,0,0,3,1,0,0,0,2,0,13,9
"Murray,‘_Andy",Murray,5,11,11,ATP World Tour Masters 1000 Canada,Hard,Murray,5,Federer,2,"Toronto, Canada",Toronto,Canada,Americas,Masters 1000,2010,F,"7-5, 7-5‘_",0,0,"7-5, 7-5",7,5,7,5,0,0,0,0,0,0,2,2,0,0,0,2,0,14,10
"Federer,‘_Roger",Federer,2,12,6,ATP World Tour Masters 1000 Canada,Hard,Berdych,6,Federer,2,"Toronto, Canada",Toronto,Canada,Americas,Masters 1000,2010,Q,"6-3, 5-7, 7-6(5)‘_",0,0,"6-3, 5-7, 7-6(5)",6,3,5,7,7,6,0,0,0,0,3,-2,1,0,0,2,1,18,16
"Federer,‘_Roger",Federer,2,5,1,ATP World Tour Masters 1000 Canada,Hard,Cilic,8,Federer,2,"Toronto, Canada",Toronto,Canada,Americas,Masters 1000,2014,R16,"7-6(5), 6-7(3), 6-4‘_",0,0,"7-6(5), 6-7(3), 6-4",7,6,6,7,6,4,0,0,0,0,1,-1,2,0,0,2,1,19,17
"Murray,‘_Andy",Murray,5,6,8,ATP Masters Series Canada,Hard,Murray,5,Wawrinka,3,"Toronto, Canada",Toronto,Canada,Americas,Masters 1000,2008,R16,"6-2, 0-6, 6-4‘_",0,0,"6-2, 0-6, 6-4",6,2,0,6,6,4,0,0,0,0,4,-6,2,0,0,2,1,12,12
"Raonic,‘_Milos",Raonic,7,1,3,ATP World Tour Masters 1000 Canada,Hard,Raonic,7,Murray,5,"Toronto, Ontario",Toronto,Canada,Americas,Masters 1000,2012,R16, W/O‘_,1,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Federer,‘_Roger",Federer,2,17,19,ATP World Tour Masters 1000 Shanghai,Hard,Federer,2,Djokovic,1,"Shanghai, China",Shanghai,China,Asia,Masters 1000,2014,S,"6-4, 6-4‘_",0,0,"6-4, 6-4",6,4,6,4,0,0,0,0,0,0,2,2,0,0,0,2,0,12,8
"Federer,‘_Roger",Federer,2,17,19,ATP World Tour Masters 1000 Shanghai,Hard,Federer,2,Djokovic,1,China,Shanghai,China,Asia,Masters 1000,2010,S,"7-5, 6-4‘_",0,0,"7-5, 6-4",7,5,6,4,0,0,0,0,0,0,2,2,0,0,0,2,0,13,9
"Djokovic,‘_Novak",Djokovic,1,15,8,ATP World Tour Masters 1000 Shanghai,Hard,Murray,5,Djokovic,1,"Shanghai, China",Shanghai,China,Asia,Masters 1000,2012,F,"5-7, 7-6(11), 6-3‘_",0,0,"5-7, 7-6(11), 6-3",5,7,7,6,6,3,0,0,0,0,-2,1,3,0,0,2,1,18,16
"Djokovic,‘_Novak",Djokovic,1,15,8,Beijing,Hard,Murray,5,Djokovic,1,China,Beijing,China,Asia,Other,2014,S,"6-3, 6-4‘_",0,0,"6-3, 6-4",6,3,6,4,0,0,0,0,0,0,3,2,0,0,0,2,0,12,7
"Djokovic,‘_Novak",Djokovic,1,16,2,ATP World Tour Masters 1000 Shanghai,Hard,Berdych,6,Djokovic,1,"Shanghai, China",Shanghai,China,Asia,Masters 1000,2012,S,"6-3, 6-4‘_",0,0,"6-3, 6-4",6,3,6,4,0,0,0,0,0,0,3,2,0,0,0,2,0,12,7
