winner,winnerid,score,tournament,overall,surface,player2,player2id,player1,player1id,location,year,stage
Maria Sharapova,1,6-4 6-3,MEMPHIS,6 - 2,HARD,Petra Kvitova,2,Maria Sharapova,2,"MEMPHIS, USA",2010,S
Petra Kvitova,1,6-3 6-4,WIMBLEDON,6 - 2,GRASS,Petra Kvitova,6,Maria Sharapova,2,"WIMBLEDON, GREAT BRITAIN",2011,F
Petra Kvitova,1,4-3 RET,TOKYO - PAN PACIFIC,6 - 2,HARD,Petra Kvitova,6,Maria Sharapova,2,"TOKYO, JAPAN",2011,Q
Maria Sharapova,1,6-2 3-6 6-4,AUSTRALIAN OPEN,6 - 2,HARD,Petra Kvitova,7,Maria Sharapova,2,"Melbourne, AUSTRALIA",2012,S
Maria Sharapova,1,6-4 7-6 (3),STUTTGART,6 - 2,CLAY,Petra Kvitova,7,Maria Sharapova,2,"Stuttgart, GERMANY",2012,S
Maria Sharapova,1,6-3 6-3,FRENCH OPEN,6 - 2,CLAY,Petra Kvitova,8,Maria Sharapova,2,"Paris, FRANCE",2012,S
Maria Sharapova,2,7-5 6-1,MIAMI,6 - 2,HARD,Petra Kvitova,5,Maria Sharapova,2,"Miami, USA",2014,Q
Maria Sharapova,2,6-4 2-6 6-3,BEIJING,6 - 2,HARD,Petra Kvitova,5,Maria Sharapova,2,"Beijing,  ",2014,F
Maria Sharapova,1,6-3 6-4,INDIAN WELLS,5 - 0,HARD,Simona Halep,6,Maria Sharapova,2,"Indian Wells, USA",2012,R32
Maria Sharapova,1,7-5 7-5,BEIJING,5 - 0,HARD,Simona Halep,8,Maria Sharapova,2,"BEIJING, CHINA P.R.",2012,R64
Maria Sharapova,1,1-6 6-2 6-3,MADRID,5 - 0,CLAY,Simona Halep,8,Maria Sharapova,2,"Madrid, SPAIN",2014,F
Maria Sharapova,2,6-4 6-7 (7) 6-4,FRENCH OPEN,5 - 0,CLAY,Simona Halep,6,Maria Sharapova,2,"Paris, FRANCE",2014,F
Maria Sharapova,2,3-6 6-4 6-4,CINCINNATI,5 - 0,HARD,Simona Halep,6,Maria Sharapova,2,"Cincinnati, USA",2014,Q
Maria Sharapova,1,6-2 6-0,MIAMI,3 - 0,HARD,Eugenie Bouchard,6,Maria Sharapova,2,"Miami, USA",2013,R64
Maria Sharapova,1,6-2 6-4,FRENCH OPEN,3 - 0,CLAY,Eugenie Bouchard,8,Maria Sharapova,2,"Paris, FRANCE",2013,R64
Maria Sharapova,1,4-6 7-5 6-2,FRENCH OPEN,3 - 0,CLAY,Eugenie Bouchard,8,Maria Sharapova,2,"Paris, FRANCE",2014,S
Maria Sharapova,1,6-2 3-6 6-0,ISTANBUL,10 - 2,CLAY,Agnieszka Radwanska,6,Maria Sharapova,2,"ISTANBUL, TURKEY",2007,Q
Agnieszka Radwanska,1,6-4 1-6 6-2,US OPEN,10 - 2,HARD,Agnieszka Radwanska,8,Maria Sharapova,2,"FLUSHING MEADOWS, USA",2007,R32
Maria Sharapova,1,6-4 6-3,DOHA,10 - 2,HARD,Agnieszka Radwanska,8,Maria Sharapova,2,"DOHA, QATAR",2008,S
Maria Sharapova,1,6-2 7-6 (5),TORONTO,10 - 2,HARD,Agnieszka Radwanska,8,Maria Sharapova,2,"TORONTO, CANADA",2009,Q
Maria Sharapova,2,6-3 2-6 6-4,TOKYO - PAN PACIFIC,10 - 2,HARD,Agnieszka Radwanska,6,Maria Sharapova,2,"TOKYO, JAPAN",2009,S
Maria Sharapova,2,1-6 6-2 6-2,STANFORD,10 - 2,HARD,Agnieszka Radwanska,6,Maria Sharapova,2,"STANFORD, USA",2010,S
Maria Sharapova,2,6-2 6-3,CINCINNATI,10 - 2,HARD,Agnieszka Radwanska,6,Maria Sharapova,2,"CINCINNATI, USA",2010,R16
Maria Sharapova,2,7-6 (4) 7-5,FRENCH OPEN,10 - 2,CLAY,Agnieszka Radwanska,7,Maria Sharapova,2,"PARIS, FRANCE",2011,R16
Agnieszka Radwanska,2,7-5 6-4,MIAMI,10 - 2,HARD,Agnieszka Radwanska,8,Maria Sharapova,2,"Miami, USA",2012,F
Maria Sharapova,2,5-7 7-5 7-5,WTA CHAMPIONSHIPS,10 - 2,HARD,Agnieszka Radwanska,8,Maria Sharapova,2,"ISTANBUL, TURKEY",2012,R1
Maria Sharapova,7,6-4 6-3,STUTTGART,10 - 2,CLAY,Agnieszka Radwanska,7,Maria Sharapova,2,"Stuttgart, GERMANY",2014,Q
Maria Sharapova,7,6-1 6-4,MADRID,10 - 2,CLAY,Agnieszka Radwanska,7,Maria Sharapova,2,"Madrid, SPAIN",2014,S
Maria Sharapova,1,7-6 (3) 7-5,LINZ,9 - 4,HARD,Ana Ivanovic,6,Maria Sharapova,2,"Austria, AUSTRIA",2006,Q
Ana Ivanovic,2,6-1 0-1 RET,TOKYO - PAN PACIFIC,9 - 4,CARPET,Ana Ivanovic,3,Maria Sharapova,2,"TOKYO, JAPAN",2007,S
Ana Ivanovic,3,6-2 6-1,FRENCH OPEN,9 - 4,CLAY,Ana Ivanovic,3,Maria Sharapova,2,"PARIS, FRANCE",2007,S
Maria Sharapova,2,6-1 6-2,TOUR CHAMPIONSHIPS,9 - 4,HARD,Ana Ivanovic,6,Maria Sharapova,2,"MADRID, SPAIN",2007,Q
Maria Sharapova,6,7-5 6-3,AUSTRALIAN OPEN,9 - 4,HARD,Ana Ivanovic,6,Maria Sharapova,2,"MELBOURNE, AUSTRALIA",2008,F
Maria Sharapova,8,6-4 0-1 RET,INDIAN WELLS,9 - 4,HARD,Ana Ivanovic,8,Maria Sharapova,2,"Indian Wells, USA",2012,S
Maria Sharapova,8,7-6 (4) 6-3,ROME,9 - 4,CLAY,Ana Ivanovic,8,Maria Sharapova,2,"Rome, ITALY",2012,R16
Maria Sharapova,2,7-5 4-6 6-4,STUTTGART,9 - 4,CLAY,Ana Ivanovic,8,Maria Sharapova,2,"Stuttgart, GERMANY",2013,Q
Maria Sharapova,7,6-4 6-3,MADRID,9 - 4,CLAY,Ana Ivanovic,7,Maria Sharapova,2,"Madrid, SPAIN",2013,S
Maria Sharapova,3,3-6 6-4 6-1,STUTTGART,9 - 4,CLAY,Ana Ivanovic,7,Maria Sharapova,2,"Stuttgart, GERMANY",2014,F
Ana Ivanovic,7,6-1 6-4,ROME,9 - 4,CLAY,Ana Ivanovic,7,Maria Sharapova,2,"Rome, ITALY",2014,R16
Ana Ivanovic,6,6-2 5-7 7-5,CINCINNATI,9 - 4,HARD,Ana Ivanovic,6,Maria Sharapova,2,"Cincinnati, USA",2014,S
Maria Sharapova,4,6-0 6-4,BEIJING,9 - 4,HARD,Ana Ivanovic,6,Maria Sharapova,2,"Beijing,  ",2014,S
Maria Sharapova,3,6-0 6-1,DOHA,5 - 3,HARD,Caroline Wozniacki,3,Maria Sharapova,2,"DOHA, QATAR",2008,Q
Maria Sharapova,2,6-4 7-6 (3),ROME,5 - 3,CLAY,Caroline Wozniacki,6,Maria Sharapova,2,"ROME, ITALY",2008,R16
Caroline Wozniacki,2,6-3 6-4,US OPEN,5 - 3,HARD,Caroline Wozniacki,6,Maria Sharapova,2,"FLUSHING MEADOWS, USA",2010,R16
Caroline Wozniacki,2,6-1 6-2,INDIAN WELLS,5 - 3,HARD,Caroline Wozniacki,6,Maria Sharapova,2,"Indian Wells, USA",2011,S
Maria Sharapova,2,7-5 6-3,ROME,5 - 3,CLAY,Caroline Wozniacki,8,Maria Sharapova,2,"Rome, ITALY",2011,S
Maria Sharapova,2,4-6 6-2 6-4,MIAMI,5 - 3,HARD,Caroline Wozniacki,8,Maria Sharapova,2,"Miami, USA",2012,S
Maria Sharapova,3,6-2 6-2,INDIAN WELLS,5 - 3,HARD,Caroline Wozniacki,7,Maria Sharapova,2,"Indian Wells, USA",2013,F
Caroline Wozniacki,3,6-4 2-6 6-2,US OPEN,5 - 3,HARD,Caroline Wozniacki,7,Maria Sharapova,2,"Flushing Meadows, USA",2014,R16
Simona Halep,2,6-2 6-2,NEW HAVEN,0 - 2,HARD,Simona Halep,3,Petra Kvitova,3,"New Haven, USA",2013,F
Simona Halep,2,6-7 (4) 6-3 6-2,MADRID,0 - 2,CLAY,Simona Halep,7,Petra Kvitova,3,"Madrid, SPAIN",2014,S
Petra Kvitova,2,6-3 6-2,TORONTO,3 - 0,HARD,Eugenie Bouchard,3,Petra Kvitova,3,"Toronto, CANADA",2013,R32
Petra Kvitova,7,6-3 6-0,WIMBLEDON,3 - 0,GRASS,Eugenie Bouchard,7,Petra Kvitova,3,"WIMBLEDON, GREAT BRITAIN",2014,F
Petra Kvitova,7,6-3 6-4,WUHAN,3 - 0,HARD,Eugenie Bouchard,7,Petra Kvitova,3,"Wuhan, CHINA",2014,F
Petra Kvitova,2,6-3 6-2,LINZ,5 - 1,HARD,Agnieszka Radwanska,7,Petra Kvitova,3,"LINZ, AUSTRIA",2009,S
Petra Kvitova,8,1-6 6-2 7-6 (2),EASTBOURNE,5 - 1,GRASS,Agnieszka Radwanska,8,Petra Kvitova,3,"Eastbourne, GREAT BRITAIN",2011,Q
Petra Kvitova,4,7-6 (4) 6-3,WTA CHAMPIONSHIPS,5 - 1,HARD,Agnieszka Radwanska,4,Petra Kvitova,3,"Istanbul, TURKEY",2011,R1
Agnieszka Radwanska,4,6-3 6-2,WTA CHAMPIONSHIPS,5 - 1,HARD,Agnieszka Radwanska,4,Petra Kvitova,3,"ISTANBUL, TURKEY",2012,R1
Petra Kvitova,8,6-2 6-4,DUBAI,5 - 1,HARD,Agnieszka Radwanska,8,Petra Kvitova,3,"Dubai, UNITED ARAB EMIRATES",2013,Q
Petra Kvitova,8,6-4 6-4,WTA CHAMPIONSHIPS,5 - 1,HARD,Agnieszka Radwanska,8,Petra Kvitova,3,"ISTANBUL, TURKEY",2013,R1
Ana Ivanovic,2,6-3 4-6 6-3,MONTREAL,3 - 4,HARD,Ana Ivanovic,7,Petra Kvitova,3,"Montreal, CANADA",2008,R32
Ana Ivanovic,3,6-1 6-4,ZURICH,3 - 4,HARD,Ana Ivanovic,5,Petra Kvitova,3,"ZURICH, SWITZERLAND",2008,Q
Ana Ivanovic,3,6-4 6-2,BRISBANE,3 - 4,HARD,Ana Ivanovic,5,Petra Kvitova,3,"BRISBANE, AUSTRALIA",2009,R32
Petra Kvitova,3,6-2 7-6 (2),AUSTRALIAN OPEN,3 - 4,HARD,Ana Ivanovic,5,Petra Kvitova,3,"Melbourne, AUSTRALIA",2012,R16
Ana Ivanovic,3,6-3 7-5,FED CUP FINAL,3 - 4,HARD,Ana Ivanovic,8,Petra Kvitova,3,"PRAGUE, CZECH REPUBLIC",2012,R4
Petra Kvitova,8,7-5 7-6 (1),DUBAI,3 - 4,HARD,Ana Ivanovic,8,Petra Kvitova,3,"Dubai, UNITED ARAB EMIRATES",2013,R16
Petra Kvitova,3,3-6 6-0 6-0,MIAMI,3 - 4,HARD,Ana Ivanovic,8,Petra Kvitova,3,"Miami, USA",2014,R16
Caroline Wozniacki,2,6-4 6-2,BASTAD,4 - 4,CLAY,Caroline Wozniacki,7,Petra Kvitova,3,"BASTAD, SWEDEN",2009,R16
Caroline Wozniacki,3,6-4 6-2,MADRID,4 - 4,CLAY,Caroline Wozniacki,6,Petra Kvitova,3,"MADRID, SPAIN",2010,R64
Petra Kvitova,3,6-2 6-0,WIMBLEDON,4 - 4,GRASS,Caroline Wozniacki,6,Petra Kvitova,3,"WIMBLEDON, GREAT BRITAIN",2010,R16
Caroline Wozniacki,3,6-3 6-2,BEIJING,4 - 4,HARD,Caroline Wozniacki,6,Petra Kvitova,3,"BEIJING, CHINA P.R.",2010,R16
Petra Kvitova,3,6-4 6-2,WTA CHAMPIONSHIPS,4 - 4,HARD,Caroline Wozniacki,8,Petra Kvitova,3,"Istanbul, TURKEY",2011,R1
Petra Kvitova,3,3-6 6-2 6-3,MONTREAL,4 - 4,HARD,Caroline Wozniacki,8,Petra Kvitova,3,"MONTREAL, CANADA",2012,S
Petra Kvitova,8,6-3 6-4,DUBAI,4 - 4,HARD,Caroline Wozniacki,8,Petra Kvitova,3,"Dubai, UNITED ARAB EMIRATES",2013,S
Caroline Wozniacki,4,3-6 6-2 6-3,CINCINNATI,4 - 4,HARD,Caroline Wozniacki,6,Petra Kvitova,3,"Cincinnati, USA",2013,R16
Simona Halep,2,6-2 1-6 6-4,INDIAN WELLS,1 - 1,HARD,Eugenie Bouchard,7,Simona Halep,4,"Indian Wells, USA",2014,R16
Eugenie Bouchard,6,7-6 (5) 6-2,WIMBLEDON,1 - 1,GRASS,Eugenie Bouchard,6,Simona Halep,4,"WIMBLEDON, GREAT BRITAIN",2014,S
Agnieszka Radwanska,3,6-1 6-2,AUSTRALIAN OPEN,2 - 4,HARD,Agnieszka Radwanska,6,Simona Halep,4,"MELBOURNE, AUSTRALIA",2011,R32
